otu	Domain	Phylum	Class	Order	Family
fa0b68d725fd22a725a55a7224c51ef4	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
6283621bd62d42535ea63880a5b8a136	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
a4b351cb2fec66442d4ddd999bf21c69	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Micrococcaceae
88aba2cde58b6e75ce3b6c7818ee25a4	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	 Xanthomonadaceae
bc75dee948994307211b9c0537017cac	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Comamonadaceae
57c1292126f9093a06a2fe8c4868902b	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	 Pirellulaceae
809b1e5a524f10e9e92f10c2270bcbb3	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
99ff48426d4f27f12e97946d2d15d0ca	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
37c57b8bd75a2aae1f504c08edc49c36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	 Rhodobacteraceae
b73a544d4df7531eece3834c98fad46e	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
229d6cd6cff0bcb1b6e368a074c5028f	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	 Chloroplast
e2839b4239a4631322deabc968b2236f	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	 Pirellulaceae
8ee501bdae8959e518c12c43efb8f313	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
92fb8d920d297e2ee43a8a6bd3092183	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
c57818f0b31824a4d41877ea01697945	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
9603da1169626ad97fb9ba3aae7b0e65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	 Rhodobacteraceae
a074f9991740b259254a452a90d28709	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Chitinibacteraceae
d4f80fc3f855dbb75588e4996d62ae2d	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA
9f6d714ad2ae8ba567b1191153546552	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	 Rhodobacteraceae
57af171b1504f28b6c4a0b0e2062afa3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
1df73de6592c05e51a23119052fae666	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
9b36393dab9c05ea438443c16bd7ac08	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
809a132cfe01abd2a80cc57003f96c2a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Sutterellaceae
74f7b96504b2dfcd2e012e0c30ba37df	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
59fe92ad88dfdf2322609164f1f3b2cb	Bacteria	Firmicutes	NA	NA	NA
e8c9d218def8dee3746d3817ea707b44	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA
97799030026cfce1a0eb128bf43cb323	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	 Caulobacteraceae
602414c5b9e42666077104f4c234b726	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
2d0a5664c3c8ec73c481f4be39cf089f	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
73f3cf2c6b8cae24bf8927048c38f99b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Comamonadaceae
5e61bc15154ccaf2df73826f4b529405	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Microbacteriaceae
07156acd740f743a517b8ec943f132d9	Bacteria	Firmicutes	Bacilli	Lactobacillales	 Enterococcaceae
fce870889a748a90474d60024fad9362	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	 Pirellulaceae
e54dac9994082095dbb826a1c5865f2f	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
27af8e930e5c7a14ac5392f47557077a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	 Xanthomonadaceae
404f0c5507aaf0f93b2699538e73de5e	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
cecfc045ace85759462128c553e4dc74	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	 Pirellulaceae
a289c05940c6e712ddf7817135351852	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	 Halieaceae
8cc85daafa50e9bd743d36eaccde3dcd	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	 Steroidobacteraceae
40c3746c0dab82637517f1b74821544a	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
e68892ec39e280b1a7cd8bb8f051fdc1	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
027f8f5c01f7a8cf7584c8a6fb083499	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
f406d9ca306bc594ef14fc4954456088	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
506e54ea9683a82215b34b233a93d9ef	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Comamonadaceae
