Sample_Id	Locations	Fishname	Diet	Habitats	Weight_Log_Transformed	faith_pd	chao1	shannon_entropy	lOG_Chao1	log_PD	Shannon_Log	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Lake_Water_Tem
82	2	15	4	2	2.19	22.12885982	124	4.796353572	2.09	1.34	0.68	26.486	9.7493	-22.416	20.811	6.3644	20.1
83	2	15	4	2	2.18	21.70367831	118	5.810145296	2.07	1.34	0.76	24.926	11.313	-30.577	24.541	13.126	20.1
84	2	15	4	2	2.18	13.23416941	70	4.963095915	1.85	1.12	0.7	22.329	0.0053049	-0.51263	5.4902	14.008	20.1
85	2	17	4	2	2.04	21.12224864	89	5.013425145	1.95	1.32	0.7	37.006	-5.2865	4.8878	3.4933	9.8173	20.1
86	2	14	4	2	2.18	24.39175195	132	5.18777472	2.12	1.39	0.71	33.598	-1.6073	4.7066	3.5273	-12.703	20.1
87	2	14	4	2	2.21	32.12048699	201	4.947762809	2.3	1.51	0.69	28.311	4.794	-6.1583	8.7534	-15.731	20.1
88	2	14	4	2	2.15	16.10371654	79	4.89225093	1.9	1.21	0.69	37.614	-1.9398	0.58831	3.4345	5.7311	20.1
89	2	13	4	2	2.3	19.30353793	102	4.7809463	2.01	1.29	0.68	35.308	-7.5207	4.223	5.4481	-2.8748	20.1
90	2	13	4	2	2.3	4.085832295	22	3.858339611	1.34	0.61	0.59	-34	-37.787	-10.651	9.128	0.76686	20.1
91	3	17	4	2	2.57	11.31980409	50	5.155965793	1.7	1.05	0.71	20.064	9.6447	2.72	-6.7713	15.893	22
92	3	4	6	2	4.43	8.082089821	58	4.535868696	1.76	0.91	0.66	-39.513	4.556	11.134	7.7081	3.2338	22
93	3	10	4	2	3.14	20.62014447	121	5.449471324	2.08	1.31	0.74	3.8611	9.1125	6.7948	-4.0869	0.70302	22
94	3	10	4	2	3.4	8.784125521	65	4.325224701	1.81	0.94	0.64	-23.546	28.502	18.224	10.832	3.0885	22
95	3	8	6	2	4.74	13.54751425	65	3.889304269	1.81	1.13	0.59	3.3644	-0.83581	5.5672	-27.714	10.076	22
96	3	4	6	2	4.65	11.49456361	97	5.325493524	1.99	1.06	0.73	-33.839	13.694	-3.3945	-20.278	1.7088	22
97	3	8	6	2	4.44	10.72093994	74	3.734047911	1.87	1.03	0.57	-13.978	-5.0637	-16.215	-33.147	2.0226	22
98	3	4	6	2	4.32	10.31037758	73	5.333014364	1.86	1.01	0.73	-36.602	-11.6	-2.236	-7.1791	2.4579	22
99	3	17	4	2	2.74	10.35316548	52	4.378614653	1.72	1.02	0.64	-43.471	-17.408	2.8582	5.7407	0.71733	22
100	3	8	6	2	4.54	16.6103819	69	4.922002736	1.84	1.22	0.69	15.89	-4.5511	10.961	-12.288	20.413	22
101	3	10	4	2	3.26	10.94732792	49	4.510104903	1.69	1.04	0.65	21.43	4.4228	26.145	-2.1142	15.18	22
102	3	17	4	2	2.98	15.20587575	70	4.315630024	1.85	1.18	0.64	-40.415	-24.5	-2.1577	-1.9734	1.9789	22
103	3	11	2	1	2.57	20.91511398	125	5.577162741	2.1	1.32	0.75	-25.733	27.76	10.662	4.6857	0.16785	22
104	3	4	6	2	4.34	14.86342562	103	4.836718148	2.01	1.17	0.68	-20.249	-10.268	3.6919	-5.4292	-1.3852	22
105	3	8	6	2	4.72	6.143934503	35	2.810575575	1.54	0.79	0.45	-5.4476	13.308	-26.339	-39.859	-2.5266	22
106	3	4	6	2	4.36	17.19392032	104	4.204033719	2.02	1.24	0.62	-25.627	18.943	3.5042	-9.088	1.3473	22
107	3	8	6	2	4.42	11.99739285	75	4.539571122	1.88	1.08	0.66	-39.296	-19.52	-0.31358	15.755	-1.4428	22
108	3	11	2	1	2.55	17.37750497	85	5.202804261	1.93	1.24	0.72	-21.242	-14.376	-15.082	-7.3321	0.58604	22
109	3	17	4	2	2.55	10.52501855	63	4.327540906	1.8	1.02	0.64	-38.599	-23.629	-5.1604	10.436	-5.3089	22
110	3	8	6	2	4.05	33.61248846	216	5.597150596	2.33	1.53	0.75	-14.168	-14.096	2.3036	-12.023	-7.1368	22
111	3	16	5	1	3.53	30.15949946	236	5.743210004	2.37	1.48	0.76	-16.194	-10.443	10.591	11.365	-9.3666	22
112	3	4	6	2	4.17	13.27534001	95	5.56609257	1.98	1.12	0.75	-12.409	-0.59124	12.445	-12.124	7.538	22
113	3	4	6	2	4.38	28.574005	166	5.062013302	2.22	1.46	0.7	-29.239	0.13602	-9.6815	-16.85	-1.8832	22
114	3	1	7	3	2.6	12.13697428	40	2.616591473	1.6	1.08	0.42	-9.0479	5.4997	-16.916	-22.019	-0.95356	22
115	3	8	6	2	4.35	7.740120135	48	2.948275777	1.68	0.89	0.47	-20.563	-1.1911	-18.622	-32.211	-0.99042	22
116	3	8	6	2	4.54	11.62131056	51	4.535713005	1.71	1.07	0.66	-9.0093	24.519	1.0444	-7.7506	6.4243	22
117	3	1	7	3	2.61	6.946467134	49	4.597016237	1.69	0.84	0.66	-33.665	-25.096	-9.2772	-3.1835	0.35938	22
118	3	1	7	3	2.65	20.21772931	103	4.905333783	2.01	1.31	0.69	2.361	-15.669	12.474	-16.818	1.5499	22
119	3	17	4	2	2.52	46.52394137	292	4.813967463	2.47	1.67	0.68	-32.157	20.644	14.217	9.0027	-4.1376	22
120	3	1	7	3	2.56	7.546845548	67	3.164808956	1.83	0.88	0.5	-38.831	-11.422	-5.936	-0.11427	-1.2563	22
121	3	1	7	3	2.41	6.282913339	32	3.351602386	1.51	0.8	0.53	-27.953	-5.565	-12.094	-12.319	5.4707	22
122	3	17	4	2	3.17	6.126262148	48	4.563826169	1.68	0.79	0.66	-43.321	-11.846	-0.2059	-0.17635	1.2049	22
123	3	1	7	3	2.48	6.070067845	30	3.583808773	1.48	0.78	0.55	-34.134	-27.157	-10.63	0.122	-1.2851	22
124	3	17	4	2	2.53	15.45161764	71	2.581089844	1.85	1.19	0.41	-29.09	39.454	16.247	11.386	1.3799	22
125	3	1	7	3	2.43	19.33826802	124	5.97462352	2.09	1.29	0.78	-3.1232	-8.1806	15.377	-11.808	2.7696	22
